category,amount,date,description
Food & Drinks - Takeaways,-12.05,13/07/2014,Quisque ut erat.
Food & Drinks - Bars & Pubs,-2.75,3/12/2016,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend q"
Work & Study - Other Work & Study,-136.77,31/05/2017,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobo"
Health & Beauty - Gyms & Fitness,-10.76,21/09/2016,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam n
Insurance - Car Insurance,-8.97,31/12/2017,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi vene"
Banking & Finance - Loan Repayments,-147.06,27/07/2015,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem"
Shopping - Homewares,-22.20,27/04/2015,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tin"
Shopping - Sports & Outdoor,-24.22,10/12/2014,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id n
Transport - Fuel,-44.53,7/11/2017,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
Work & Study - Other Work & Study,-431.08,18/07/2016,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibu
Entertainment - Events,-166.60,11/07/2014,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, le"
Health & Beauty - Eyewear,-294.35,19/07/2014,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante "
Holiday & Travel - Other Travel,-559.89,21/07/2016,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lec
Entertainment - Media Subscriptions,-95.48,25/02/2016,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.
Work & Study - News & Subscriptions,-107.25,3/06/2017,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, a"
Food & Drinks - Bars & Pubs,-19.11,5/07/2014,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, cond"
Work & Study - Course Fees,-92.37,1/11/2017,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem,"
Entertainment - Media Subscriptions,-72.58,7/04/2014,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viver
Work & Study - Course Fees,-49.79,17/04/2016,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend "
Shopping - Sports & Outdoor,-45.73,22/12/2017,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molest
Shopping - Other Shopping,-206.57,6/03/2016,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. N
Insurance - Car Insurance,-156.21,31/03/2016,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
Entertainment - Events,-124.81,30/11/2014,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante "
Home - Rent,-72.37,23/04/2017,Cras non velit nec nisi vulputate nonummy.
Groceries - Liquor Stores,-157.32,8/06/2014,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam 
Miscellaneous - Other,-104.60,24/02/2015,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit"
Holiday & Travel - Hotels & Accomodation,-14.27,31/07/2016,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molest
Food & Drinks - Cafes & Coffee,-46.48,30/12/2016,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum q"
Home - Services & Trades,-76.56,24/03/2017,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa
Food & Drinks - Other Food & Drinks,-25.25,26/10/2017,Aliquam erat volutpat. In congue. Etiam justo.
Food & Drinks - Cafes & Coffee,-40.21,27/01/2014,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentes"
Household Utilities - Other Household Utilities,-314.40,5/10/2017,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla"
Health & Beauty - Doctors & Dentist,-215.77,25/09/2015,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
Transport - Taxi & Rideshare,-105.64,6/05/2016,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem,"
Food & Drinks - Restaurants,-152.35,27/04/2015,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem,"
Transport - Vehicle Maintenance,-103.15,15/08/2014,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit"
Household Utilities - Other Household Utilities,-0.02,4/11/2017,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellent"
Banking & Finance - ATM Withdrawals,-133.05,4/07/2017,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestib"
Shopping - Other Shopping,-15.18,4/08/2014,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euis"
Household Utilities - Water,-234.76,2/11/2017,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices ma
Health & Beauty - Doctors & Dentist,-8.63,27/10/2016,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa te
Food & Drinks - Takeaways,-9.76,30/08/2015,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis
Home - Services & Trades,-18.15,22/05/2017,Maecenas pulvinar lobortis est. Phasellus sit amet erat.
Holiday & Travel - Other Travel,-164.72,10/02/2014,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.
Shopping - Sports & Outdoor,-59.64,24/01/2014,Curabitur convallis.
Holiday & Travel - Other Travel,-170.46,3/07/2015,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, e"
Food & Drinks - Bars & Pubs,-256.42,13/11/2017,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien u"
Work & Study - News & Subscriptions,-4.91,18/06/2014,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Ves"
Work & Study - News & Subscriptions,-159.94,30/09/2014,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa
Transport - Vehicle Maintenance,-143.52,11/08/2014,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibu
Household Utilities - Electricity & Gas,-164.69,20/01/2018,Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis
Holiday & Travel - Vehicle Rentals,-38.16,2/12/2014,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
Banking & Finance - Loan Repayments,-111.59,12/03/2014,Pellentesque at nulla. Suspendisse potenti.
Household Utilities - Electricity & Gas,-137.22,11/05/2017,Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis
Health & Beauty - Eyewear,-24.78,31/12/2015,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentes"
Holiday & Travel - Vehicle Rentals,-57.98,24/09/2015,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend "
Home - Services & Trades,-225.87,19/05/2017,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
Groceries - Liquor Stores,-72.37,22/02/2017,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nun"
Food & Drinks - Restaurants,-50.64,16/11/2014,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem "
Holiday & Travel - Flights,-289.53,18/01/2016,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestib
Miscellaneous - Other,-12.18,8/03/2015,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at "
Shopping - Sports & Outdoor,-4.71,20/03/2017,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, le"
Food & Drinks - Bars & Pubs,-42.02,10/03/2015,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellent"
Home - Services & Trades,-12.80,30/03/2015,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.
Shopping - Clothing & Fashion,-133.29,26/08/2015,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc"
Transport - Vehicle Maintenance,-73.92,27/04/2017,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
Banking & Finance - ATM Withdrawals,-65.29,17/11/2016,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum "
Home - Rent,-137.68,30/04/2014,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vit
Groceries - Supermarkets,-325.73,5/05/2015,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta
Transport - Taxi & Rideshare,-92.71,31/05/2016,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci
Shopping - Other Shopping,-82.37,3/01/2014,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse plate
Health & Beauty - Doctors & Dentist,-58.25,19/05/2014,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in 
Household Utilities - Other Household Utilities,-518.79,23/02/2016,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor qui"
Groceries - Supermarkets,-38.58,10/05/2015,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices ma
Shopping - Other Shopping,-270.09,11/09/2015,Nunc rhoncus dui vel sem. Sed sagittis.
Holiday & Travel - Vehicle Rentals,-34.46,22/11/2017,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue
Transport - Fuel,-7.72,11/02/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibu
Insurance - Car Insurance,-141.49,16/07/2015,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, "
Entertainment - Events,-9.89,30/03/2016,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor conva
Miscellaneous - Other,-128.46,2/12/2016,Suspendisse potenti. In eleifend quam a odio.
Work & Study - Course Fees,-83.21,16/04/2017,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem"
Holiday & Travel - Vehicle Rentals,-73.73,24/07/2015,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molest
Entertainment - Events,-6.64,7/12/2016,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget
Food & Drinks - Takeaways,-153.65,22/11/2016,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euis"
Holiday & Travel - Other Travel,-110.13,21/06/2017,Etiam justo.
Health & Beauty - Gyms & Fitness,-35.34,23/03/2017,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in f"
Food & Drinks - Takeaways,-56.24,18/02/2017,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, laci"
Entertainment - Media Subscriptions,-21.39,6/04/2017,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis nato
Health & Beauty - Gyms & Fitness,-218.84,7/01/2017,Ut tellus.
Home - Services & Trades,-372.35,25/02/2014,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi
Work & Study - News & Subscriptions,-93.01,10/03/2015,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phase"
Household Utilities - Other Household Utilities,-51.63,29/04/2017,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend "
Household Utilities - Electricity & Gas,-549.16,5/01/2017,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tris"
Transport - Fuel,-0.64,5/01/2017,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nis
Transport - Public Transport,-279.13,28/07/2014,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tris"
Work & Study - Other Work & Study,-83.21,26/08/2017,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus
Holiday & Travel - Vehicle Rentals,-198.68,3/01/2017,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi vene"
Health & Beauty - Eyewear,-85.89,28/04/2015,Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis
Food & Drinks - Bars & Pubs,-66.55,14/07/2014,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ul"
Household Utilities - Phone & Internet,-95.48,27/05/2016,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie"
Food & Drinks - Restaurants,-73.84,2/11/2016,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, t"
Holiday & Travel - Vehicle Rentals,-78.94,14/11/2014,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augu"
Health & Beauty - Eyewear,-205.93,9/07/2015,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cu
Entertainment - Media Subscriptions,-39.13,7/08/2014,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursu"
Banking & Finance - ATM Withdrawals,-3.97,25/08/2015,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus"
Transport - Vehicle Maintenance,-5.47,16/01/2016,Suspendisse potenti.
Work & Study - Other Work & Study,-104.19,24/03/2017,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, mal"
Shopping - Sports & Outdoor,-78.38,23/01/2015,Proin interdum mauris non ligula pellentesque ultrices.
Home - Rent,-26.76,17/11/2016,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pr"
Shopping - Other Shopping,-127.84,6/05/2016,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non veli
Banking & Finance - ATM Withdrawals,-62.01,28/07/2014,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phase"
Holiday & Travel - Hotels & Accomodation,-15.20,1/09/2015,Nullam molestie nibh in lectus. Pellentesque at nulla.
Home - Rent,-191.57,16/04/2015,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean
Health & Beauty - Doctors & Dentist,-2.26,19/05/2017,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, cond"
Home - Rent,-28.27,11/05/2017,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, na"
Groceries - Supermarkets,-329.05,30/09/2016,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa
Banking & Finance - ATM Withdrawals,-74.43,6/02/2015,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam n
Work & Study - Books & Stationery,-309.47,18/07/2017,Vestibulum ac est lacinia nisi venenatis tristique.
Shopping - Clothing & Fashion,-91.86,24/11/2016,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nu"
Shopping - Other Shopping,-149.39,23/03/2014,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis
Holiday & Travel - Hotels & Accomodation,-198.60,17/04/2014,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum "
Work & Study - Course Fees,-23.23,29/05/2015,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestib
Food & Drinks - Cafes & Coffee,-18.69,4/04/2017,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in f"
Food & Drinks - Takeaways,-157.50,11/01/2018,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue qua
Transport - Fuel,-12.77,16/01/2018,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nu"
Health & Beauty - Gyms & Fitness,-121.80,16/09/2015,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat i"
Holiday & Travel - Hotels & Accomodation,-214.69,2/04/2017,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Household Utilities - Water,-25.95,4/03/2014,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis"
Banking & Finance - Loan Repayments,-33.51,4/04/2016,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede ju"
Household Utilities - Water,-66.41,13/05/2014,In hac habitasse platea dictumst.
Household Utilities - Other Household Utilities,-457.63,29/05/2015,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl"
Holiday & Travel - Hotels & Accomodation,-82.96,5/02/2015,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. N
Banking & Finance - Loan Repayments,-58.23,14/03/2016,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui
Insurance - Car Insurance,-21.57,30/11/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viver
Transport - Fuel,-83.40,27/11/2015,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat i"
Transport - Vehicle Maintenance,-53.78,5/11/2014,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl"
